,0,1,2,3,4
66,آغا,ɔː ɣ ɔː,آغا,Sir,A q A
67,آغاز,ʔ ɒː ɣ ɒː z,آغاز,the beginning,A q A z
68,آفریدن,ɒː f æ ɾ iː d æ n,آفریدن,Create,A f a r i d a n
69,آفرین,ɑː f a ɾ iː n,آفرین,good job,A f a r i n
70,آفرین,ɒː f a ɾ iː n,آفرین,good job,A f a r i n
71,آفرین,ɒː f e ɾ iː n,آفرین,good job,A f e r i n
72,آفرین,ɒː f æ ɾ iː n,آفرین,good job,A f a r i n
73,آفرین,ɔː f a ɾ i n,آفرین,good job,A f a r i n
74,آقا,ɑː q ɑː,آقا,Sir,A q A
75,آقا,ɒː q ɒː,آقا,Sir,A q A
76,آقا,ɒː ɣ ɒː,آقا,Sir,A q A
77,آقا,ɔː q ɔː,آقا,Sir,A q A
78,آلودن,ɒː l uː d æ n,آلودن,Polluting,A l A d a n
79,آمار,uː m ɒː ɾ,آمار,statistics,A m A r
80,آمار,ɑː m ɑː ɾ,آمار,statistics,A m A r
81,آمار,ɒː m ɒː ɾ,آمار,statistics,A m A r
82,آمار,ɔː m ɔː ɾ,آمار,statistics,A m A r
83,آمارگر,ʔ ɒː m ɒː ɾ ɡ æ ɾ,آمارگر,Statistician,A m A r ɡ a r
84,آمدن,uː m æ d æ n,آمدن,Coming,A m a d a n
85,آمدن,ɑː m a d a n,آمدن,Coming,A m a d a n
86,آمدن,ɒː m a d a n,آمدن,Coming,A m a d a n
87,آمدن,ɒː m æ d æ n,آمدن,Coming,A m a d a n
88,آمدن,ɔː m a d a n,آمدن,Coming,A m a d a n
89,آموختن,ɑː m oː x t a n,آموختن,Learn,A m oː x t a n
90,آموختن,ɒː m oː x t a n,آموختن,Learn,A m oː x t a n
91,آموختن,ɒː m uː x t æ n,آموختن,Learn,A m A x t a n
92,آموختن,ɔː m ɵː x t a n,آموختن,Learn,A m ɵː x t a n
93,آموزش,uː m uː z e ʃ,آموزش,Education,A m A z e S
94,آموزش,ɑː m oː z i ʃ,آموزش,Education,A m oː z i S
95,آموزش,ɒː m oː z ɪ ʃ,آموزش,Education,A m oː z i S
96,آموزش,ɒː m uː z e ʃ,آموزش,Education,A m A z e S
97,آموزش,ɔː m ɵː z i ʃ,آموزش,Education,A m ɵː z i S
98,آموزگار,ɑː m oː z ɡ ɑː ɾ,آموزگار,Tutors,A m oː z ɡ A r
99,آموزگار,ɒː m oː z ɡ ɒː ɾ,آموزگار,Tutors,A m oː z ɡ A r
100,آموزگار,ɒː m uː z ɡ ɒː ɾ,آموزگار,Tutors,A m A z ɡ A r
101,آموزگار,ɔː m ɵː z ɡ ɔː ɾ,آموزگار,Tutors,A m ɵː z ɡ A r
102,آمیختن,ʔ ɒː m eː x t æ n,آمیختن,Interlaced,A m eː x t a n
103,آمیختن,ʔ ɒː m iː x t æ n,آمیختن,Interlaced,A m i x t a n
104,آمیزش,ɒː m iː z e ʃ,آمیزش,Intercourse,A m i z e S
105,آن,uː n,آن,It,A n
106,آن,ɑː n,آن,It,A n
107,آن,ɒː n,آن,It,A n
108,آن,ɔː n,آن,It,A n
109,آنجا,uː n d ʒ ɒː,آنجا,There,A n j A
110,آنجا,ɑː n d ʒ ɑː,آنجا,There,A n j A
111,آنجا,ɒː n d ʒ ɒː,آنجا,There,A n j A
112,آنجا,ɔː n d ʒ ɔː,آنجا,There,A n j A
113,آهار,ɑː h ɑː ɾ,آهار,Sizing,A h A r
114,آهار,ɒː h ɒː ɾ,آهار,Sizing,A h A r
115,آهار,ɔː h ɔː ɾ,آهار,Sizing,A h A r
116,آهسته,ɑː h i s t a,آهسته,Slow,A h i s t a
117,آهسته,ɒː h e s t e,آهسته,Slow,A h e s t e
118,آهسته,ɒː h ɪ s t a,آهسته,Slow,A h i s t a
119,آهسته,ɔː h i s t a,آهسته,Slow,A h i s t a
120,آوازه,ɑː v ɑː z a,آوازه,Reputation,A v A z a
121,آوازه,ɒː v ɒː z e,آوازه,Reputation,A v A z e
122,آوازه,ɒː w ɒː z a,آوازه,Reputation,A w A z a
123,آوازه,ɔː v ɔː z a,آوازه,Reputation,A v A z a
124,آویختن,ɒː v iː x t æ n,آویختن,Hanging,A v i x t a n
125,آچار,ɑː t ʃ ɑː ɾ,آچار,Wrench,A t S A r
126,آچار,ɒː t ʃ ɒː ɾ,آچار,Wrench,A t S A r
127,آچار,ɔː t ʃ ɔː ɾ,آچار,Wrench,A t S A r
128,آژیر,ɑː ʔ ʒ iː ɾ,آژیر,Alarm,A ʒ i r
129,آژیر,ɒː ʒ iː ɾ,آژیر,Alarm,A ʒ i r
130,آژیر,ɒː ʔ ʒ iː ɾ,آژیر,Alarm,A ʒ i r
131,آژیر,ɔː ʔ ʒ i ɾ,آژیر,Alarm,A ʒ i r
132,آکندن,ʔ ɒː k æ n d æ n,آکندن,Filling,A k a n d a n
133,آینده,ɑː j a n d a,آینده,the future,A y a n d a
134,آینده,ɒː j a n d a,آینده,the future,A y a n d a
135,آینده,ɒː j æ n d e,آینده,the future,A y a n d e
136,آینده,ɔː j a n d a,آینده,the future,A y a n d a
137,ئەگەر,ɛ ɡ ɛ r,ئەگەر,YەGەR,ɛ ɡ ɛ r
138,ا,e,ا,Or,e
139,ا,o,ا,Or,o
140,ا,æ,ا,Or,a
141,ا,ɒː,ا,Or,A
142,ابتکار,e b t e k ɒː ɾ,ابتکار,innovation,e b t e k A r
143,ابتکار,i b t i k ɑː ɾ,ابتکار,innovation,i b t i k A r
144,ابتکار,i b t i k ɔː ɾ,ابتکار,innovation,i b t i k A r
145,ابتکار,ɪ b t ɪ k ɒː ɾ,ابتکار,innovation,i b t i k A r
146,ابرش,æ b ɾ æ ʃ,ابرش,Spotty,a b r a S
147,ابرنواختر,æ b æ ɾ n o ʊ æ x t æ ɾ,ابرنواختر,Supernova,a b a r n o ʊ a x t a r
148,ابری,ʔ æ b ɾ iː,ابری,Cloudy,a b r i
149,ابریق,e b ɾ iː ɣ,ابریق,Ewer,e b r i q
150,ابریق,i b ɾ i q,ابریق,Ewer,i b r i q
151,ابریق,i b ɾ iː q,ابریق,Ewer,i b r i q
152,ابریق,ɪ b ɾ iː q,ابریق,Ewer,i b r i q
153,ابری‌ساز,ʔ æ b ɾ iː s ɒː z,ابریساز,Abrysaz,a b r i s A z
154,ابری‌سازی,ʔ æ b ɾ iː s ɒː z iː,ابریسازی,Abrysazy,a b r i s A z i
155,ابزار,a b z ɑː ɾ,ابزار,Tool,a b z A r
156,ابزار,a b z ɒː ɾ,ابزار,Tool,a b z A r
157,ابزار,a b z ɔː ɾ,ابزار,Tool,a b z A r
158,ابزار,æ b z ɒː ɾ,ابزار,Tool,a b z A r
159,اتاق,o tʰ ɒː ɣ,اتاق,room,o t A q
160,اتفاق,e tː e f ɒː ɣ,اتفاق,Happening,e tː e f A q
161,اتم,æ t o m,اتم,Atom,a t o m
162,اتمام,e t m ɒː m,اتمام,end,e t m A m
163,اتم‌ها,æ t o m h ɒː,اتمها,Atoms,a t o m h A
164,اثر,æ s æ ɾ,اثر,Effect,a s a r
165,اجازه,e d ʒ ɒː z e,اجازه,Permission,e j A z e
166,اجازه,i d ʒ ɑː z a,اجازه,Permission,i j A z a
167,اجازه,i d ʒ ɔː z a,اجازه,Permission,i j A z a
168,اجازه,ɪ d ʒ ɒː z a,اجازه,Permission,i j A z a
169,اجاق,o d ʒ ɒː ɣ,اجاق,Stove,o j A q
170,احترام,i h t̪ i ɾ ɒː m,احترام,Respect,i h t i r A m
171,احترام,ɪ h t̪ ɪ ɾ ɒː m,احترام,Respect,i h t i r A m
172,احمدی‌نژاد,æ h m æ d iː n e ʒ ɒː d,احمدینژاد,Ahmadi Nejad,a h m a d i n e ʒ A d
173,اخبار,a x b ɑː ɾ,اخبار,News,a x b A r
174,اخبار,a x b ɒː ɾ,اخبار,News,a x b A r
175,اخبار,a x b ɔː ɾ,اخبار,News,a x b A r
176,اخبار,æ x b ɒː ɾ,اخبار,News,a x b A r
177,اخترمار,æ x t æ ɾ m ɒː ɾ,اخترمار,Akhtrmar,a x t a r m A r
178,اختصار,e x t e s ɒː ɾ,اختصار,Brevity,e x t e s A r
179,اختصار,i x t i s ɑː ɾ,اختصار,Brevity,i x t i s A r
180,اختصار,i x t i s ɔː ɾ,اختصار,Brevity,i x t i s A r
181,اختصار,ɪ x t ɪ s ɒː ɾ,اختصار,Brevity,i x t i s A r
182,اختیار,e x t i j ɒː ɾ,اختیار,Authority,e x t i y A r
183,اختیار,i x t i j ɑː ɾ,اختیار,Authority,i x t i y A r
184,اختیار,i x t i j ɔː ɾ,اختیار,Authority,i x t i y A r
185,اختیار,ɪ x t i j ɒː ɾ,اختیار,Authority,i x t i y A r
186,اخذ,ʔ æ x z,اخذ,Getting,a x z
187,ادیان,æ d j ɒː n,ادیان,religions,a d y A n
188,ارادت,e ɾ ɒː d æ t,ارادت,Devotion,e r A d a t
189,اراده,e ɾ ɒː d e,اراده,Will,e r A d e
190,اردیبهشت,o ɾ d̪ iː b e h e ʃ t̪ʰ,اردیبهشت,May,o r d̪ i b e h e S tʰ
191,ارس,ʔ æ ɾ æ s,ارس,Aras,a r a s
192,ارض,a ɾ z,ارض,Earth,a r z
193,ارض,æ ɾ z,ارض,Earth,a r z
194,ارغنون,æ ɾ ɣ æ n uː n,ارغنون,Harmonium,a r q a n A n
195,ارغوان,a ɾ ɣ a v ɑː n ~ a ɾ ɣ u v ɑː n,ارغوان,Purple,a r q a v A n ~ a r q u v A n
196,ارغوان,a ɾ ɣ a v ɔː n ~ a ɾ ɣ u v ɔː n,ارغوان,Purple,a r q a v A n ~ a r q u v A n
197,ارغوان,a ɾ ɣ a w ɒː n ~ a ɾ ɣ ʊ w ɒː n,ارغوان,Purple,a r q a w A n ~ a r q ʊ w A n
198,ارغوان,æ ɾ ɣ æ v ɒː n ~ æ ɾ ɣ o v ɒː n,ارغوان,Purple,a r q a v A n ~ a r q o v A n
199,ارگ,o ɾ ɡ,ارگ,Organ,o r ɡ
200,ارگ,æ ɾ ɡ,ارگ,Organ,a r ɡ
201,از,æ z,از,From,a z
202,ازبکستان,o z b æ k e s t ɒː n,ازبکستان,Uzbekistan,o z b a k e s t A n
203,ازبکستان,u z b a k i s t ɑː n,ازبکستان,Uzbekistan,u z b a k i s t A n
204,ازبکستان,u z b a k i s t ɔː n,ازبکستان,Uzbekistan,u z b a k i s t A n
205,ازبکستان,ʊ z b a k ɪ s t ɒː n,ازبکستان,Uzbekistan,ʊ z b a k i s t A n
206,ازگیل,a z ɡ i l,ازگیل,Medlar,a z ɡ i l
207,ازگیل,a z ɡ iː l,ازگیل,Medlar,a z ɡ i l
208,ازگیل,æ z ɡ iː l,ازگیل,Medlar,a z ɡ i l
209,اسب,ʔ æ s b,اسب,Horse,a s b
210,استاد,o s t ɒː d,استاد,Professor,o s t A d
211,استاد,u s t ɑː d,استاد,Professor,u s t A d
212,استاد,u s t ɔː d,استاد,Professor,u s t A d
213,استاد,ʊ s t ɒː d,استاد,Professor,ʊ s t A d
214,استادانه,ʔ o s tʰ ɒː d̪ ɒː n e,استادانه,Masterly,o s t A d̪ A n e
215,استادانه,ʔ u s tʰ ɑː d̪ ɑː n a,استادانه,Masterly,u s t A d̪ A n a
216,استادانه,ʔ u s tʰ ɔː d̪ ɔː n a,استادانه,Masterly,u s t A d̪ A n a
217,استادانه,ʔ ʊ s tʰ ɒː d̪ ɒː n a,استادانه,Masterly,ʊ s t A d̪ A n a
218,استان,o s tʰ ɒː n,استان,State,o s t A n
219,استاندار,o s tʰ uː n d ɒː ɾ,استاندار,Governor,o s t A n d A r
220,استاندار,o s tʰ ɒː n d ɒː ɾ,استاندار,Governor,o s t A n d A r
221,استخوان,o s t o x ɒ n,استخوان,bone,o s t o x ɒ n
222,استیون,e s t iː v e n,استیون,Steven,e s t i v e n
223,اسفناج,e s f e n ɒː d͡ʒ,اسفناج,Spinach,e s f e n A j
224,اسفند,e s f æ n d̪,اسفند,March,e s f a n d̪
225,اسلام,ʔ e s l uː m,اسلام,Islam,e s l A m
226,اسلام,ʔ e s l ɒː m,اسلام,Islam,e s l A m
227,اسلام,ʔ i s l ɑː m,اسلام,Islam,i s l A m
228,اسلام,ʔ i s l ɔː m,اسلام,Islam,i s l A m
229,اسلام,ʔ ɪ s l ɒː m,اسلام,Islam,i s l A m
230,اسم,e s m,اسم,Asthma,e s m
231,اسپریس,ʔ e s p æ ɾ eː s,اسپریس,Racecourse,e s p a r eː s
232,اسپریس,ʔ æ s p æ ɾ eː s,اسپریس,Racecourse,a s p a r eː s
233,اسپریس,ʔ æ s p ɾ eː s,اسپریس,Racecourse,a s p r eː s
234,اسپهسالار,ʔ e s p æ h s ɒː l ɒː ɾ,اسپهسالار,Asphsalar,e s p a h s A l A r
235,اسپهسالار,ʔ ɪ s p æ h s ɒː l ɒː ɾ,اسپهسالار,Asphsalar,i s p a h s A l A r
236,اسکدار,a s k u d ɑː ɾ,اسکدار,Askdar,a s k u d A r
237,اسکدار,a s k u d ɔː ɾ,اسکدار,Askdar,a s k u d A r
238,اسکدار,a s k ʊ d ɒː ɾ,اسکدار,Askdar,a s k ʊ d A r
239,اسکدار,æ s k o d ɒː ɾ,اسکدار,Askdar,a s k o d A r
240,اسکندر,e s k æ n d æ ɾ,اسکندر,Alexander,e s k a n d a r
241,اسکندر,i s k a n d a ɾ,اسکندر,Alexander,i s k a n d a r
242,اسکندر,ɪ s k a n d a ɾ,اسکندر,Alexander,i s k a n d a r
243,اشتر,ʔ o ʃ t o ɾ,اشتر,Griffon,o S t o r
244,اشرج,æ ʃ r æ d ʒ,اشرج,Ashrj,a S r a j
245,اصلی,æ s l iː,اصلی,Main,a s l i
246,اضافه,e z ɒː f e,اضافه,Addition,e z A f e
247,اضافه,i z ɔː f a,اضافه,Addition,i z A f a
248,اضافه,i ð ɑː f a,اضافه,Addition,i ð A f a
249,اضافه,ɪ z ɒː f a,اضافه,Addition,i z A f a
250,اظهار,e z h ɒː ɾ,اظهار,Remark,e z h A r
251,اظهار,i z h ɑː ɾ,اظهار,Remark,i z h A r
252,اظهار,i z h ɔː ɾ,اظهار,Remark,i z h A r
253,اظهار,ɪ z h ɒː ɾ,اظهار,Remark,i z h A r
254,اعضا,æ ʔ z ɒ,اعضا,parts,a z ɒ
255,افتخار,e f t e x ɒː ɾ,افتخار,Honor,e f t e x A r
256,افتخار,i f t i x ɑː ɾ,افتخار,Honor,i f t i x A r
257,افتخار,i f t i x ɔː ɾ,افتخار,Honor,i f t i x A r
258,افتخار,ɪ f t ɪ x ɒː ɾ,افتخار,Honor,i f t i x A r
259,افرنگ,a f ɾ a n ɡ,افرنگ,Afrang,a f r a n ɡ
260,افرنگ,æ f ɾ æ n ɡ,افرنگ,Afrang,a f r a n ɡ
261,افسانه,a f s ɑː n a,افسانه,Fiction,a f s A n a
262,افسانه,a f s ɒː n a,افسانه,Fiction,a f s A n a
263,افسانه,a f s ɔː n a,افسانه,Fiction,a f s A n a
264,افسانه,æ f s uː n e,افسانه,Fiction,a f s A n e
265,افسانه,æ f s ɒː n e,افسانه,Fiction,a f s A n e
266,افسوس,a f s oː s,افسوس,Alas,a f s oː s
267,افسوس,a f s ɵː s,افسوس,Alas,a f s ɵː s
268,افسوس,æ f s uː s,افسوس,Alas,a f s A s
269,افشردن,æ f ʃ o ɾ d æ n,افشردن,Afshrdn,a f S o r d a n
270,افطار,e f t ɒː ɾ,افطار,Breakfast,e f t A r
271,افطار,i f t ɑː ɾ,افطار,Breakfast,i f t A r
272,افطار,i f t ɔː ɾ,افطار,Breakfast,i f t A r
273,افطار,ɪ f t ɒː ɾ,افطار,Breakfast,i f t A r
274,افغان,a f ɣ ɑː n,افغان,Afghan,a f q A n
275,افغان,a f ɣ ɒː n,افغان,Afghan,a f q A n
276,افغان,a f ɣ ɔː n,افغان,Afghan,a f q A n
277,افغان,æ f ɣ ɒː n,افغان,Afghan,a f q A n
278,افغانستان,ʔ a f ɣ ɑː n i s t ɑː n,افغانستان,Afghanistan,a f q A n i s t A n
279,افغانستان,ʔ a f ɣ ɒː n ɪ s t ɒː n,افغانستان,Afghanistan,a f q A n i s t A n
280,افغانستان,ʔ a f ɣ ɔː n i s t ɔː n,افغانستان,Afghanistan,a f q A n i s t A n
281,افغانستان,ʔ æ f ɣ ɒː n e s t ɒː n,افغانستان,Afghanistan,a f q A n e s t A n
282,افیون,ʔ æ f j uː n,افیون,Opium,a f y A n
283,اقرار,e ɣ ɾ ɒː ɾ,اقرار,Confession,e q r A r
284,اقرار,i q ɾ ɑː ɾ,اقرار,Confession,i q r A r
285,اقرار,i q ɾ ɔː ɾ,اقرار,Confession,i q r A r
286,اقرار,ɪ q ɾ ɒː ɾ,اقرار,Confession,i q r A r
287,اقیانوس,o ɣ j ɒː n uː s,اقیانوس,Ocean,o q y A n A s
288,البرز,ʔ æ l b o ɾ z,البرز,Alborz,a l b o r z
289,البرز,ʔ æ l b u ɾ z,البرز,Alborz,a l b u r z
290,الماس,ʔ æ l m ɒː s,الماس,Diamond,a l m A s
291,الماس‌ها,æ l m ɒː s h ɒː,الماسها,Diamonds,a l m A s h A
292,المزده,æ l æ m z æ d e,المزده,Almzdh,a l a m z a d e
293,الموت,ʔ æ l æ m uː t,الموت,Alamut,a l a m A t
294,امتحان,e m t e h uː n,امتحان,Exam,e m t e h A n
295,امتحان,e m t e h ɒː n,امتحان,Exam,e m t e h A n
296,امتحان,i m t i h ɑː n,امتحان,Exam,i m t i h A n
297,امتحان,i m t i h ɔː n,امتحان,Exam,i m t i h A n
298,امتحان,ɪ m t ɪ h ɒː n,امتحان,Exam,i m t i h A n
299,امروز,e m ɾ uː z,امروز,Today,e m r A z
300,امروز,i m ɾ oː z,امروز,Today,i m r oː z
301,امروز,i m ɾ ɵː z,امروز,Today,i m r ɵː z
302,امروز,ɪ m ɾ oː z,امروز,Today,i m r oː z
303,امشب,e m ʃ æ b,امشب,Tonight,e m S a b
304,امضاء,e m z ɒː,امضاء,Signature,e m z A
305,امید,ʔ o mː iː d,امید,Hope,o mː i d
306,امید,ʔ u mː e d,امید,Hope,u mː e d
307,امید,ʔ u mː eː d,امید,Hope,u mː eː d
308,امید,ʔ ʊ mː eː d,امید,Hope,ʊ mː eː d
309,امیدیار,ʔ o m iː d y ɒː ɾ,امیدیار,Omidyar,o m i d y A r
310,امین,æ m iː n,امین,Trustworthy,a m i n
311,امین‌ها,æ m iː n h ɒː,امینها,Trustworthy,a m i n h A
312,ان,uː n,ان,It,A n
313,ان,ɑː n,ان,It,A n
314,ان,ɒː n,ان,It,A n
315,ان,ɔː n,ان,It,A n
316,انار,a n ɑː ɾ,انار,Pomegranate,a n A r
317,انار,a n ɒː ɾ,انار,Pomegranate,a n A r
318,انار,a n ɔː ɾ,انار,Pomegranate,a n A r
319,انار,æ n ɒː ɾ,انار,Pomegranate,a n A r
320,انار,ɒː n ɒː ɾ,انار,Pomegranate,A n A r
321,انبار,ʔ æ m b ɒː ɾ,انبار,Store,a m b A r
322,انتحار,e n t e h ɒː ɾ,انتحار,Suicide,e n t e h A r
323,انتحار,i n t i h ɑː ɾ,انتحار,Suicide,i n t i h A r
324,انتحار,i n t i h ɔː ɾ,انتحار,Suicide,i n t i h A r
325,انتحار,ɪ n t ɪ h ɒː ɾ,انتحار,Suicide,i n t i h A r
326,انتشار,e n t e ʃ ɒː ɾ,انتشار,Publication,e n t e S A r
327,انتشار,i n t i ʃ ɑː ɾ,انتشار,Publication,i n t i S A r
328,انتشار,i n t i ʃ ɔː ɾ,انتشار,Publication,i n t i S A r
329,انتشار,ɪ n t ɪ ʃ ɒː ɾ,انتشار,Publication,i n t i S A r
330,انجمن,ʔ æ n d͡ʒ o m æ n,انجمن,Community,a n j o m a n
331,اندی,æ n d eː,اندی,Andy,a n d eː
332,انعکاس,e n ʔ e k ɒː s,انعکاس,Reflection,e n e k A s
333,انفجار,e n f e d ʒ ɒː ɾ,انفجار,Explosion,e n f e j A r
334,انفجار,i n f i d ʒ ɑː ɾ,انفجار,Explosion,i n f i j A r
335,انفجار,i n f i d ʒ ɔː ɾ,انفجار,Explosion,i n f i j A r
336,انفجار,ɪ n f ɪ d ʒ ɒː ɾ,انفجار,Explosion,i n f i j A r
337,انه,uː n # e,انه,Henin,A n  e
338,انه,ɑː n # a,انه,Henin,A n  a
339,انه,ɒː n # a,انه,Henin,A n  a
340,انه,ɒː n # e,انه,Henin,A n  e
341,انه,ɔː n # a,انه,Henin,A n  a
342,انکار,e n k ɒː ɾ,انکار,Denial,e n k A r
343,انکار,i n k ɑː ɾ,انکار,Denial,i n k A r
344,انکار,i n k ɔː ɾ,انکار,Denial,i n k A r
345,انکار,ɪ n k ɒː ɾ,انکار,Denial,i n k A r
346,انگبین,a n ɡ u b i n ~ a n ɡ a b i n,انگبین,Honey,a n ɡ u b i n ~ a n ɡ a b i n
347,انگبین,a n ɡ u b iː n ~ a n ɡ a b iː n,انگبین,Honey,a n ɡ u b i n ~ a n ɡ a b i n
348,انگبین,a n ɡ ʊ b iː n ~ a n ɡ a b iː n,انگبین,Honey,a n ɡ ʊ b i n ~ a n ɡ a b i n
349,انگبین,æ n ɡ o b iː n ~ æ n ɡ æ b iː n,انگبین,Honey,a n ɡ o b i n ~ a n ɡ a b i n
350,انگلستان,e n ɡ e l e s t uː n,انگلستان,United Kingdom,e n ɡ e l e s t A n
351,انگلستان,e n ɡ e l e s t ɒː n,انگلستان,United Kingdom,e n ɡ e l e s t A n
352,انگلستان,i n ɡ i l i s t ɑː n,انگلستان,United Kingdom,i n ɡ i l i s t A n
353,انگلستان,i n ɡ i l i s t ɔː n,انگلستان,United Kingdom,i n ɡ i l i s t A n
354,انگلستان,ɪ n ɡ ɪ l ɪ s t ɒː n,انگلستان,United Kingdom,i n ɡ i l i s t A n
355,اهریمن,ʔ æ h ɾ iː m æ n,اهریمن,Demon,a h r i m a n
356,اهواز,æ h w ɒː z,اهواز,Ahvaz,a h w A z
357,او,oː,او,She,oː
358,او,uː,او,She,A
359,او,ɵː,او,She,ɵː
360,اورشلیم,ʔ o ɾ ʃ æ l iː m,اورشلیم,Jerusalem,o r S a l i m
361,اورنگ,a v ɾ a n ɡ,اورنگ,Throne,a v r a n ɡ
362,اورنگ,a w ɾ a n ɡ,اورنگ,Throne,a w r a n ɡ
363,اورنگ,o w ɾ æ n ɡ,اورنگ,Throne,o w r a n ɡ
364,اورنگ,oː ɾ æ n ɡ,اورنگ,Throne,oː r a n ɡ
365,اولی,æ v v æ l iː,اولی,First,a v v a l i
366,اوکی,o kʰ e j,اوکی,OK,o kʰ e y
367,اوگاندا,u ɡ ɔː n d ɔː,اوگاندا,Uganda,u ɡ A n d A
368,اوگاندا,uː ɡ uː n d ɒː,اوگاندا,Uganda,A ɡ A n d A
369,اوگاندا,uː ɡ ɑː n d ɑː,اوگاندا,Uganda,A ɡ A n d A
370,اوگاندا,uː ɡ ɒː n d ɒː,اوگاندا,Uganda,A ɡ A n d A
371,اً,t æ n v i n,اً,Or,t a n v i n
372,اً,æ n,اً,Or,a n
